1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
17,0.045851004,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161,0.049041161
18,0.043436944,0.049362922,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495,0.0508495
19,0.041146886,0.049362922,0.052571138,0.055493247,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925,0.056219925
20,0.038977076,0.046763958,0.052571138,0.055493247,0.058151739,0.060554468,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537,0.060730537
21,0.033273402,0.044298496,0.049918643,0.052691109,0.058151739,0.060554468,0.06273992,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178,0.064497178
22,0.02837547,0.04196249,0.047396718,0.050027017,0.055208515,0.057487651,0.06273992,0.064705019,0.066493699,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431,0.067636431
23,0.024191383,0.035821948,0.04500169,0.047497079,0.052410626,0.054572369,0.059552767,0.064705019,0.066493699,0.068089659,0.069511253,0.070787404,0.071935871,0.072974415,0.073920796,0.074792775,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638,0.075477638
24,0.021052451,0.030548864,0.038353879,0.040481913,0.049753958,0.051804329,0.056523574,0.061405852,0.063101539,0.068089659,0.069511253,0.070787404,0.071935871,0.072974415,0.073920796,0.074792775,0.075599151,0.076300181,0.076939532,0.077528139,0.078076941,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481,0.078400481
25,0.021052451,0.026044301,0.0326555,0.034468435,0.042409382,0.044158215,0.053647841,0.058270802,0.059878212,0.064605618,0.06595293,0.067162359,0.068250748,0.069234939,0.07013177,0.070958077,0.075599151,0.076300181,0.076939532,0.077528139,0.078076941,0.078580307,0.079020275,0.079422092,0.079791639,0.0801348,0.080265336,0.080265336,0.080265336,0.080265336,0.080265336,0.080265336,0.080265336
26,0.020941377,0.022664945,0.027795848,0.029339895,0.036112888,0.037603027,0.045735108,0.055295166,0.056818874,0.061295505,0.06257232,0.063718429,0.064749806,0.065682418,0.066532229,0.067315195,0.071637599,0.072300731,0.072905503,0.073462266,0.073981367,0.078580307,0.079020275,0.079422092,0.079791639,0.0801348,0.080443528,0.080717218,0.080965974,0.081193142,0.081402066,0.081437774,0.081437774
27,0.02083018,0.022664945,0.024128873,0.025470225,0.030742467,0.03201181,0.038950445,0.047146305,0.048446464,0.058154304,0.059364295,0.060450384,0.061427721,0.062311446,0.06311669,0.06385858,0.06787858,0.068505811,0.069077829,0.069604426,0.070095393,0.074387519,0.07480309,0.075182619,0.075531663,0.075855779,0.080443528,0.080717218,0.080965974,0.081193142,0.081402066,0.081587157,0.081752962
28,0.02071887,0.022548596,0.024128873,0.025470225,0.026690959,0.02779394,0.033162781,0.040158057,0.041266341,0.049590919,0.050623586,0.05155053,0.052384673,0.053138933,0.053826222,0.054459445,0.064316011,0.064909274,0.065450302,0.06594836,0.06641271,0.070412992,0.070805484,0.071163929,0.071493578,0.071799679,0.076068087,0.07632619,0.076560776,0.076775001,0.07697202,0.081587157,0.081752962
29,0.020630387,0.022432121,0.024008788,0.025346802,0.026690959,0.02779394,0.028797807,0.034195827,0.035140278,0.042246066,0.043126502,0.043916818,0.044628026,0.045271134,0.04585715,0.046397075,0.054894835,0.055401792,0.055864119,0.056289733,0.056686545,0.066649966,0.067020653,0.067359179,0.067670504,0.067959587,0.071924831,0.072168212,0.072389414,0.072591414,0.072777188,0.077046759,0.07720282
30,0.020630387,0.02231553,0.023888577,0.025223251,0.026564569,0.027664926,0.028797807,0.029700758,0.030521935,0.035978695,0.03672912,0.037402748,0.03800896,0.038557136,0.039056654,0.039516891,0.046806136,0.047238895,0.047633562,0.047996892,0.048335641,0.056924275,0.057241318,0.057530857,0.057797134,0.058044389,0.068006336,0.068235828,0.068444406,0.068634874,0.068810042,0.073455239,0.073604017
31,0.020479222,0.021806671,0.023768249,0.025099584,0.026438052,0.027535783,0.028666445,0.029700758,0.030521935,0.031255341,0.03190802,0.032493927,0.033021214,0.033498034,0.033932543,0.034332893,0.039897568,0.040266876,0.040603682,0.040913749,0.041202842,0.048567983,0.048838861,0.049086243,0.049313751,0.049525009,0.058121883,0.05831834,0.058496894,0.058659947,0.058809902,0.070031169,0.070173004
32,0.020329169,0.02129685,0.023241343,0.024556558,0.026311417,0.027406522,0.028534956,0.029567318,0.030386632,0.031255341,0.03190802,0.032493927,0.033021214,0.033498034,0.033932543,0.034332893,0.034709807,0.035031763,0.035325392,0.035595718,0.035847764,0.041425986,0.04165735,0.041868646,0.04206297,0.042243415,0.049622719,0.049790718,0.049943408,0.050082843,0.050211078,0.066766715,0.066901932
33,0.020180245,0.020786959,0.022713428,0.024012484,0.025754076,0.026836525,0.028403348,0.02943375,0.030251201,0.031118392,0.031769624,0.032354242,0.03288038,0.033356168,0.033789742,0.034189236,0.034709807,0.035031763,0.035325392,0.035595718,0.035847764,0.036084469,0.036286578,0.036471161,0.036640921,0.03679856,0.042353508,0.042497125,0.042627655,0.042746856,0.042856482,0.058628383,0.058747267
