1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
36,1.17E-05,7.27E-06,1.36E-05,1.34E-05,4.77E-06,4.71E-06,2.39E-06,9.95E-07,9.86E-07,2.82E-07,2.80E-07,2.78E-07,2.76E-07,2.75E-07,2.74E-07,2.72E-07,2.46E-08,2.44E-08,2.44E-08,2.43E-08,2.42E-08,9.23E-09,9.21E-09,2.208E-07,0.00000022,1.918E-07,1.904E-07,1.476E-08,1.464E-08,1.22E-08,1.215E-08,9.68E-09,3.692E-09
37,1.78E-05,9.83E-06,2.85E-05,2.80E-05,1.32E-05,1.30E-05,4.66E-06,2.37E-06,2.35E-06,9.78E-07,9.71E-07,9.65E-07,9.59E-07,9.54E-07,9.50E-07,9.46E-07,2.71E-07,2.70E-07,2.69E-07,2.69E-07,2.68E-07,2.41E-08,2.41E-08,7.672E-07,7.632E-07,0.000000665,6.622E-07,1.626E-07,0.000000162,1.345E-07,1.345E-07,1.072E-07,9.64E-09
38,3.59E-05,1.28E-05,4.09E-05,4.99E-05,2.77E-05,2.73E-05,1.29E-05,4.61E-06,4.57E-06,2.33E-06,2.31E-06,2.30E-06,2.29E-06,2.27E-06,2.26E-06,2.26E-06,9.43E-07,9.39E-07,9.37E-07,9.34E-07,9.32E-07,2.67E-07,2.67E-07,0.000001832,0.000001816,0.000001582,0.000001582,5.658E-07,5.634E-07,4.685E-07,0.000000467,3.728E-07,1.068E-07
39,5.40E-05,1.61E-05,4.09E-05,7.95E-05,4.92E-05,4.86E-05,2.70E-05,1.28E-05,1.26E-05,4.54E-06,4.51E-06,4.48E-06,4.46E-06,4.44E-06,4.42E-06,4.40E-06,2.25E-06,2.24E-06,2.23E-06,2.23E-06,2.22E-06,9.30E-07,9.28E-07,0.000003568,0.000003552,0.000003094,0.00000308,0.00000135,0.000001344,0.000001115,0.000001115,0.000000888,0.000000372
40,6.32E-05,3.76E-05,4.98E-05,0.000116649,7.85E-05,7.76E-05,4.81E-05,2.68E-05,2.65E-05,1.26E-05,1.25E-05,1.24E-05,1.23E-05,1.23E-05,1.22E-05,1.22E-05,4.39E-06,4.37E-06,4.36E-06,4.35E-06,4.34E-06,2.22E-06,2.21E-06,0.00000984,0.00000984,0.00000854,0.00000854,0.000002634,0.000002622,0.00000218,0.000002175,0.000001736,0.000000888
41,6.32E-05,6.60E-05,5.79E-05,0.000116649,0.000115877,0.000114682,7.68E-05,4.77E-05,4.73E-05,2.63E-05,2.62E-05,2.60E-05,2.59E-05,2.58E-05,2.57E-05,2.56E-05,1.21E-05,1.21E-05,1.21E-05,1.20E-05,1.20E-05,4.33E-06,4.32E-06,0.00002072,0.00002064,0.00001799,0.00001792,0.00000726,0.00000726,0.00000605,0.000006,0.0000048,0.000001732
42,6.49E-05,9.94E-05,6.64E-05,0.000130117,0.000208969,0.000208025,0.000113631,7.62E-05,7.56E-05,4.70E-05,4.67E-05,4.64E-05,4.62E-05,4.60E-05,4.58E-05,4.56E-05,2.55E-05,2.54E-05,2.53E-05,2.53E-05,2.52E-05,1.20E-05,1.20E-05,0.00003696,0.0000368,0.00003206,0.00003192,0.0000153,0.00001524,0.00001265,0.00001265,0.00001008,0.0000048
43,6.49E-05,0.000136117,7.55E-05,0.000144262,0.00024292,0.000330391,0.000207174,0.000112713,0.000111898,7.51E-05,7.46E-05,7.42E-05,7.39E-05,7.36E-05,7.33E-05,7.30E-05,4.55E-05,4.53E-05,4.52E-05,4.51E-05,4.50E-05,2.52E-05,2.51E-05,0.00005912,0.00005888,0.00005131,0.0000511,0.0000273,0.00002718,0.0000226,0.00002255,0.000018,0.00001008
44,6.67E-05,0.000216021,0.000105399,0.000159053,0.00024292,0.000421421,0.000330249,0.000206414,0.000205725,0.000111186,0.000110564,0.000110014,0.000109527,0.000109091,0.000108699,0.000108342,7.28E-05,7.26E-05,7.24E-05,7.23E-05,7.21E-05,4.49E-05,4.48E-05,8.76216E-05,8.72728E-05,7.60893E-05,7.58394E-05,0.00004368,0.00004356,0.0000362,0.00003615,0.00002884,0.00001796
45,6.85E-05,0.000295911,0.00013884,0.000220277,0.00026635,0.000421421,0.000480434,0.000330086,0.000329907,0.000205114,0.000204571,0.000204086,0.000203651,0.000203258,0.000202902,0.000202574,0.000108018,0.000107735,0.000107479,0.000107246,0.000107029,7.20E-05,7.19E-05,0.000162921,0.000162606,0.000142031,0.000141802,6.48108E-05,0.000064641,5.37395E-05,0.000053623,4.28116E-05,0.0000288
46,7.03E-05,0.000370394,0.000175242,0.000288079,0.000290662,0.000456205,0.000649118,0.000481393,0.000482186,0.000329728,0.000329551,0.00032938,0.000329217,0.000329062,0.000328914,0.000328774,0.00020228,0.000202018,0.000201779,0.00020156,0.000201356,0.000106835,0.000106663,0.000263374,0.00026325,0.00023024,0.000230142,0.000121368,0.000121211,0.00010089,0.00010078,8.05424E-05,0.000042734
47,8.31E-05,0.000401807,0.000213965,0.000360723,0.000315796,0.000491951,0.000649118,0.000656866,0.000659143,0.000482839,0.000483374,0.000483821,0.000484197,0.000484517,0.000484791,0.000485031,0.000328656,0.000328536,0.000328425,0.00032832,0.000328221,0.000201176,0.000201013,0.000387358,0.000387614,0.000339354,0.000339522,0.000197194,0.000197122,0.000164213,0.00016416,0.000131288,8.04704E-05
48,9.36E-05,0.000401807,0.000299146,0.000436554,0.000402496,0.000528561,0.000696158,0.000852373,0.000856673,0.000661074,0.000662708,0.000664113,0.000665329,0.000666391,0.000667328,0.000668165,0.000485267,0.000485442,0.000485594,0.000485728,0.000485849,0.000328142,0.000328061,0.000532263,0.000533113,0.00046713,0.000467716,0.00029116,0.000291265,0.000242797,0.000242864,0.00019434,0.000131257
